Invoice Number,Transaction Date,Transaction Amount,Payer Home Location,Transaction ID,Invoice ID,Currency Code
100091,2022-01-02,$900.00,Bay Area Fencing Club - Los Gatos,30465684,40514167,USD
100092,2022-01-02,$135.00,Bay Area Fencing Club - Los Gatos,30465693,40514178,USD
100099,2022-01-03,$980.00,Bay Area Fencing Club - Los Gatos,30482016,40528719,USD
100101,2022-01-03,$45.00,Bay Area Fencing Club - Los Gatos,30483169,40530734,USD
100102,2022-01-03,$450.00,Bay Area Fencing Club - Los Gatos,30483543,40531213,USD
100104,2022-01-03,$900.00,Bay Area Fencing Club - Los Gatos,30483548,40531225,USD
100105,2022-01-04,$450.00,Bay Area Fencing Club - Los Gatos,30487334,40535697,USD
100109,2022-01-04,$350.00,Bay Area Fencing Club - Los Gatos,30491901,40543105,USD
100112,2022-01-04,$450.00,Bay Area Fencing Club - Los Gatos,30492336,40543786,USD
100114,2022-01-04,$900.00,Bay Area Fencing Club - Los Gatos,30494186,40546590,USD
100115,2022-01-04,$900.00,Bay Area Fencing Club - Los Gatos,30494208,40546627,USD
100116,2022-01-04,"$1,200.00",Bay Area Fencing Club - Los Gatos,30495060,40547549,USD
100117,2022-01-05,$80.00,Bay Area Fencing Club - Los Gatos,30504927,40561916,USD
100119,2022-01-06,$900.00,Bay Area Fencing Club - Los Gatos,30512595,40573709,USD
100121,2022-01-07,$300.00,Bay Area Fencing Club - Los Gatos,30521869,40587438,USD
100122,2022-01-08,$900.00,Bay Area Fencing Club - Los Gatos,30527617,40595854,USD
100123,2022-01-09,$45.00,Bay Area Fencing Club - Los Gatos,30532720,40603412,USD
100124,2022-01-09,$90.00,Bay Area Fencing Club - Los Gatos,30532763,40603436,USD
100125,2022-01-09,$40.00,Bay Area Fencing Club - Los Gatos,30532826,40603557,USD
100126,2022-01-09,$45.00,Bay Area Fencing Club - Los Gatos,30535367,40607800,USD
100127,2022-01-11,$140.00,Bay Area Fencing Club - Los Gatos,30551816,40632888,USD
100128,2022-01-11,$140.00,Bay Area Fencing Club - Los Gatos,30551828,40632908,USD
100130,2022-01-12,$350.00,Bay Area Fencing Club - Los Gatos,30559351,40644129,USD
100131,2022-01-12,$350.00,Bay Area Fencing Club - Los Gatos,30559364,40644142,USD
100133,2022-01-12,$900.00,Bay Area Fencing Club - Los Gatos,30559428,40644211,USD
100138,2022-01-13,$140.00,Bay Area Fencing Club - Los Gatos,30567620,40657540,USD
100139,2022-01-13,$140.00,Bay Area Fencing Club - Los Gatos,30569629,40661667,USD
100140,2022-01-13,$140.00,Bay Area Fencing Club - Los Gatos,30571736,40665390,USD
100141,2022-01-13,$319.35,Bay Area Fencing Club - Los Gatos,30572146,40666082,USD
100144,2022-01-15,$90.00,Bay Area Fencing Club - Los Gatos,30589180,40689648,USD
100145,2022-01-15,$280.00,Bay Area Fencing Club - Los Gatos,30589559,40690308,USD
100146,2022-01-17,$140.00,Bay Area Fencing Club - Los Gatos,30603516,40710551,USD
100148,2022-01-18,$180.00,Bay Area Fencing Club - Los Gatos,30615352,40730391,USD
100163,2022-01-22,$29.03,Bay Area Fencing Club - Los Gatos,30646282,40779688,USD
100172,2022-01-25,$50.81,Bay Area Fencing Club - Los Gatos,30668998,40819000,USD
100175,2022-01-27,$29.03,Bay Area Fencing Club - Los Gatos,30683337,40846056,USD
100179,2022-01-29,$900.00,Bay Area Fencing Club - Los Gatos,30698509,40872555,USD
100180,2022-01-29,"$1,200.00",Bay Area Fencing Club - Los Gatos,30698950,40873278,USD
100181,2022-01-29,$200.89,Bay Area Fencing Club - Los Gatos,30699090,40873557,USD
100183,2022-01-29,$900.00,Bay Area Fencing Club - Los Gatos,30700005,40875213,USD
100186,2022-01-31,$120.00,Bay Area Fencing Club - Los Gatos,30711989,40894283,USD
100187,2022-01-31,$320.00,Bay Area Fencing Club - Los Gatos,30712030,40894388,USD
100188,2022-01-31,$120.00,Bay Area Fencing Club - Los Gatos,30712041,40894431,USD
100189,2022-01-31,$540.00,Bay Area Fencing Club - Los Gatos,30712066,40894457,USD
100190,2022-01-31,$880.00,Bay Area Fencing Club - Los Gatos,30712096,40894526,USD
100191,2022-01-31,$480.00,Bay Area Fencing Club - Los Gatos,30712117,40894602,USD
100192,2022-01-31,$340.00,Bay Area Fencing Club - Los Gatos,30712128,40894618,USD
100193,2022-01-31,$320.00,Bay Area Fencing Club - Los Gatos,30712146,40894655,USD
100194,2022-01-31,$60.00,Bay Area Fencing Club - Los Gatos,30712150,40894694,USD
100195,2022-01-31,$120.00,Bay Area Fencing Club - Los Gatos,30712160,40894709,USD
100196,2022-01-31,$60.00,Bay Area Fencing Club - Los Gatos,30712169,40894727,USD
100197,2022-01-31,$120.00,Bay Area Fencing Club - Los Gatos,30712179,40894744,USD
100198,2022-01-31,$60.00,Bay Area Fencing Club - Los Gatos,30712187,40894759,USD
100199,2022-01-31,$60.00,Bay Area Fencing Club - Los Gatos,30712198,40894775,USD
100072,2022-02-01,$550.00,Bay Area Fencing Club - Los Gatos,30832801,40500922,USD
100068,2022-02-01,$550.00,Bay Area Fencing Club - Los Gatos,30832802,40500919,USD
100074,2022-02-01,$550.00,Bay Area Fencing Club - Los Gatos,30832803,40500924,USD
100070,2022-02-01,$450.00,Bay Area Fencing Club - Los Gatos,30832805,40500921,USD
100071,2022-02-01,$550.00,Bay Area Fencing Club - Los Gatos,30832806,40500923,USD
100075,2022-02-01,$450.00,Bay Area Fencing Club - Los Gatos,30832807,40500926,USD
100077,2022-02-01,$550.00,Bay Area Fencing Club - Los Gatos,30832808,40500927,USD
100106,2022-02-01,$450.00,Bay Area Fencing Club - Los Gatos,30832809,40535706,USD
100142,2022-02-01,$450.00,Bay Area Fencing Club - Los Gatos,30832810,40666104,USD
100078,2022-02-01,$450.00,Bay Area Fencing Club - Los Gatos,30832811,40500929,USD
100110,2022-02-01,$350.00,Bay Area Fencing Club - Los Gatos,30832812,40543117,USD
100173,2022-02-01,$225.00,Bay Area Fencing Club - Los Gatos,30832815,40819008,USD
100069,2022-02-01,$550.00,Bay Area Fencing Club - Los Gatos,30832817,40500920,USD
100076,2022-02-01,$450.00,Bay Area Fencing Club - Los Gatos,30832818,40500928,USD
100073,2022-02-01,$550.00,Bay Area Fencing Club - Los Gatos,30832819,40500925,USD
100113,2022-02-01,$450.00,Bay Area Fencing Club - Los Gatos,30832823,40543799,USD
100176,2022-02-01,$225.00,Bay Area Fencing Club - Los Gatos,30832827,40846087,USD
100164,2022-02-01,$225.00,Bay Area Fencing Club - Los Gatos,30832830,40779690,USD
100221,2022-02-01,$900.00,Bay Area Fencing Club - Los Gatos,30835300,41024706,USD
100224,2022-02-01,$900.00,Bay Area Fencing Club - Los Gatos,30844374,41038029,USD
100229,2022-02-02,$64.29,Bay Area Fencing Club - Los Gatos,30856684,41050870,USD
100232,2022-02-02,$395.00,Bay Area Fencing Club - Los Gatos,30861023,41057901,USD
100103,2022-02-03,$450.00,Bay Area Fencing Club - Los Gatos,30867391,40531220,USD
100100,2022-02-03,$80.00,Bay Area Fencing Club - Los Gatos,30867392,40528790,USD
100235,2022-02-03,$450.00,Bay Area Fencing Club - Los Gatos,30870310,41066357,USD
100237,2022-02-03,$900.00,Bay Area Fencing Club - Los Gatos,30870495,41066707,USD
100238,2022-02-03,$353.57,Bay Area Fencing Club - Los Gatos,30870629,41066929,USD
100249,2022-02-04,$200.89,Bay Area Fencing Club - Los Gatos,30879815,41080212,USD
100118,2022-02-05,$80.00,Bay Area Fencing Club - Los Gatos,30886840,40561919,USD
100252,2022-02-05,$80.00,Bay Area Fencing Club - Los Gatos,30891874,41089655,USD
100264,2022-02-05,$136.61,Bay Area Fencing Club - Los Gatos,30892687,41099961,USD
100267,2022-02-06,$176.79,Bay Area Fencing Club - Los Gatos,30899538,41109135,USD
100270,2022-02-07,$136.61,Bay Area Fencing Club - Los Gatos,30905538,41116780,USD
100273,2022-02-07,$144.64,Bay Area Fencing Club - Los Gatos,30906573,41118486,USD
100276,2022-02-07,$176.79,Bay Area Fencing Club - Los Gatos,30908893,41122675,USD
100278,2022-02-07,$176.79,Bay Area Fencing Club - Los Gatos,30908903,41122726,USD
100282,2022-02-07,$159.11,Bay Area Fencing Club - Los Gatos,30910105,41124796,USD
100284,2022-02-07,$176.79,Bay Area Fencing Club - Los Gatos,30910112,41124833,USD
100286,2022-02-07,$144.64,Bay Area Fencing Club - Los Gatos,30912083,41127828,USD
100288,2022-02-08,$900.00,Bay Area Fencing Club - Los Gatos,30924322,41146053,USD
100294,2022-02-09,$321.42,Bay Area Fencing Club - Los Gatos,30931236,41157984,USD
100300,2022-02-11,$395.00,Bay Area Fencing Club - Los Gatos,30945489,41179355,USD
100301,2022-02-11,$395.00,Bay Area Fencing Club - Los Gatos,30945495,41179373,USD
100302,2022-02-11,$120.54,Bay Area Fencing Club - Los Gatos,30946551,41181369,USD
100304,2022-02-12,$395.00,Bay Area Fencing Club - Los Gatos,30953885,41192380,USD
100305,2022-02-12,$80.36,Bay Area Fencing Club - Los Gatos,30955625,41195726,USD
100307,2022-02-12,$80.36,Bay Area Fencing Club - Los Gatos,30955698,41195849,USD
100309,2022-02-12,$60.00,Bay Area Fencing Club - Los Gatos,30956257,41196932,USD
100310,2022-02-12,$60.00,Bay Area Fencing Club - Los Gatos,30956261,41196937,USD
100311,2022-02-12,$352.00,Bay Area Fencing Club - Los Gatos,30956295,41196963,USD
100314,2022-02-12,$395.00,Bay Area Fencing Club - Los Gatos,30956847,41197834,USD
100316,2022-02-14,$80.36,Bay Area Fencing Club - Los Gatos,30970318,41217778,USD
100320,2022-02-14,$120.54,Bay Area Fencing Club - Los Gatos,30972223,41221708,USD
100322,2022-02-15,$64.29,Bay Area Fencing Club - Los Gatos,30978492,41229218,USD
100308,2022-02-15,$202.50,Bay Area Fencing Club - Los Gatos,30979403,41195875,USD
100230,2022-02-15,$172.50,Bay Area Fencing Club - Los Gatos,30983866,41050884,USD
100283,2022-02-15,$202.50,Bay Area Fencing Club - Los Gatos,30983944,41124829,USD
100328,2022-02-15,$395.00,Bay Area Fencing Club - Los Gatos,30984363,41239583,USD
100306,2022-02-17,$202.64,Bay Area Fencing Club - Los Gatos,30998943,41195756,USD
100340,2022-02-19,$80.36,Bay Area Fencing Club - Los Gatos,31017732,41293187,USD
100343,2022-02-19,$165.00,Bay Area Fencing Club - Los Gatos,31018134,41293964,USD
100344,2022-02-21,$395.00,Bay Area Fencing Club - Los Gatos,31036031,41322087,USD
100346,2022-02-22,$900.00,Bay Area Fencing Club - Los Gatos,31044032,41335784,USD
100347,2022-02-23,$900.00,Bay Area Fencing Club - Los Gatos,31052375,41350415,USD
100348,2022-02-23,$900.00,Bay Area Fencing Club - Los Gatos,31052419,41350503,USD
100349,2022-02-23,$900.00,Bay Area Fencing Club - Los Gatos,31052798,41351089,USD
100350,2022-02-23,$900.00,Bay Area Fencing Club - Los Gatos,31052807,41351103,USD
100351,2022-02-24,$900.00,Bay Area Fencing Club - Los Gatos,31062084,41366459,USD
100352,2022-02-25,$32.14,Bay Area Fencing Club - Los Gatos,31065388,41371187,USD
100354,2022-02-26,$395.00,Bay Area Fencing Club - Los Gatos,31074464,41386490,USD
100358,2022-02-27,$60.00,Bay Area Fencing Club - Los Gatos,31081801,41398246,USD
100359,2022-02-28,$900.00,Bay Area Fencing Club - Los Gatos,31093821,41417055,USD
100361,2022-02-28,$195.97,Bay Area Fencing Club - Los Gatos,31140683,41469051,USD
100205,2022-03-01,$450.00,Bay Area Fencing Club - Los Gatos,31221363,41021902,USD
100182,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31221364,40873585,USD
100203,2022-03-01,$350.00,Bay Area Fencing Club - Los Gatos,31221366,41021893,USD
100206,2022-03-01,$450.00,Bay Area Fencing Club - Los Gatos,31221367,41021904,USD
100207,2022-03-01,$550.00,Bay Area Fencing Club - Los Gatos,31221368,41021911,USD
100208,2022-03-01,$550.00,Bay Area Fencing Club - Los Gatos,31221369,41021913,USD
100204,2022-03-01,$550.00,Bay Area Fencing Club - Los Gatos,31221372,41021903,USD
100211,2022-03-01,$550.00,Bay Area Fencing Club - Los Gatos,31221370,41021914,USD
100212,2022-03-01,$550.00,Bay Area Fencing Club - Los Gatos,31221371,41021921,USD
100210,2022-03-01,$550.00,Bay Area Fencing Club - Los Gatos,31221373,41021918,USD
100209,2022-03-01,$550.00,Bay Area Fencing Club - Los Gatos,31221374,41021905,USD
100214,2022-03-01,$450.00,Bay Area Fencing Club - Los Gatos,31221375,41021922,USD
100219,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31221376,41021935,USD
100215,2022-03-01,$450.00,Bay Area Fencing Club - Los Gatos,31221377,41021929,USD
100251,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31221378,41080305,USD
100271,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31221379,41116789,USD
100220,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31221380,41021939,USD
100268,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31221381,41109158,USD
100285,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31221382,41124836,USD
100239,2022-03-01,$450.00,Bay Area Fencing Club - Los Gatos,31221383,41066964,USD
100323,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31221386,41229223,USD
100265,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31221384,41099977,USD
100216,2022-03-01,$450.00,Bay Area Fencing Club - Los Gatos,31221387,41021928,USD
100279,2022-03-01,$181.42,Bay Area Fencing Club - Los Gatos,31221385,41122730,USD
100213,2022-03-01,$450.00,Bay Area Fencing Club - Los Gatos,31221388,41021923,USD
100295,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31221389,41158009,USD
100217,2022-03-01,$450.00,Bay Area Fencing Club - Los Gatos,31221391,41021932,USD
100303,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31221392,41181389,USD
100341,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31221390,41293217,USD
100296,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31221394,41158010,USD
100334,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31221397,41254902,USD
100317,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31225214,41217990,USD
100356,2022-03-01,$225.00,Bay Area Fencing Club - Los Gatos,31225584,41386887,USD
100401,2022-03-01,$181.45,Bay Area Fencing Club - Los Gatos,31227140,41559009,USD
100403,2022-03-01,$166.94,Bay Area Fencing Club - Los Gatos,31228343,41560828,USD
100406,2022-03-02,$900.00,Bay Area Fencing Club - Los Gatos,31250817,41586842,USD
100233,2022-03-03,$450.00,Bay Area Fencing Club - Los Gatos,31257172,41061281,USD
100234,2022-03-03,$80.00,Bay Area Fencing Club - Los Gatos,31257173,41061283,USD
100410,2022-03-03,$60.00,Bay Area Fencing Club - Los Gatos,31257591,41591169,USD
100412,2022-03-03,$203.23,Bay Area Fencing Club - Los Gatos,31261855,41598329,USD
100414,2022-03-03,$181.45,Bay Area Fencing Club - Los Gatos,31263162,41600480,USD
100416,2022-03-04,$152.42,Bay Area Fencing Club - Los Gatos,31273864,41616594,USD
100418,2022-03-04,$900.00,Bay Area Fencing Club - Los Gatos,31274875,41617981,USD
100419,2022-03-04,$121.94,Bay Area Fencing Club - Los Gatos,31276348,41619545,USD
100421,2022-03-05,"$1,200.00",Bay Area Fencing Club - Los Gatos,31280967,41626100,USD
100383,2022-03-05,$225.00,Bay Area Fencing Club - Los Gatos,31283665,41550529,USD
100423,2022-03-05,$50.00,Bay Area Fencing Club - Los Gatos,31283683,41630500,USD
100427,2022-03-06,$395.00,Bay Area Fencing Club - Los Gatos,31291466,41641294,USD
100429,2022-03-06,$395.00,Bay Area Fencing Club - Los Gatos,31291881,41642003,USD
100430,2022-03-06,$395.00,Bay Area Fencing Club - Los Gatos,31291909,41642042,USD
100437,2022-03-06,$152.42,Bay Area Fencing Club - Los Gatos,31292327,41642753,USD
100439,2022-03-06,$137.18,Bay Area Fencing Club - Los Gatos,31292332,41642762,USD
100442,2022-03-06,$152.42,Bay Area Fencing Club - Los Gatos,31292533,41643069,USD
100443,2022-03-06,$225.00,Bay Area Fencing Club - Los Gatos,31292535,41643073,USD
100445,2022-03-06,$159.68,Bay Area Fencing Club - Los Gatos,31292606,41643173,USD
100448,2022-03-06,$121.94,Bay Area Fencing Club - Los Gatos,31294276,41644827,USD
100281,2022-03-07,$181.45,Bay Area Fencing Club - Los Gatos,31296400,41124179,USD
100452,2022-03-07,$450.00,Bay Area Fencing Club - Los Gatos,31299047,41651818,USD
100454,2022-03-07,$362.90,Bay Area Fencing Club - Los Gatos,31299056,41651834,USD
100455,2022-03-07,$450.00,Bay Area Fencing Club - Los Gatos,31299438,41651848,USD
100457,2022-03-07,$152.42,Bay Area Fencing Club - Los Gatos,31299703,41652978,USD
100460,2022-03-07,$395.00,Bay Area Fencing Club - Los Gatos,31303618,41659773,USD
100463,2022-03-07,$100.00,Bay Area Fencing Club - Los Gatos,31305120,41662156,USD
100464,2022-03-07,$900.00,Bay Area Fencing Club - Los Gatos,31305199,41662313,USD
100477,2022-03-10,$200.00,Bay Area Fencing Club - Los Gatos,31335481,41709763,USD
100478,2022-03-10,$336.60,Bay Area Fencing Club - Los Gatos,31335636,41709990,USD
100479,2022-03-10,$336.60,Bay Area Fencing Club - Los Gatos,31335650,41710010,USD
100480,2022-03-10,$336.60,Bay Area Fencing Club - Los Gatos,31335670,41710044,USD
100481,2022-03-10,$536.60,Bay Area Fencing Club - Los Gatos,31335678,41710080,USD
100482,2022-03-10,$236.60,Bay Area Fencing Club - Los Gatos,31335686,41710096,USD
100483,2022-03-10,$236.60,Bay Area Fencing Club - Los Gatos,31335703,41710117,USD
100485,2022-03-10,$395.00,Bay Area Fencing Club - Los Gatos,31338182,41712866,USD
100486,2022-03-10,$395.00,Bay Area Fencing Club - Los Gatos,31338183,41712872,USD
100488,2022-03-11,$60.00,Bay Area Fencing Club - Los Gatos,31340581,41716971,USD
100489,2022-03-11,$845.00,Bay Area Fencing Club - Los Gatos,31343630,41722494,USD
100490,2022-03-11,$152.42,Bay Area Fencing Club - Los Gatos,31343739,41722708,USD
100495,2022-03-12,$145.16,Bay Area Fencing Club - Los Gatos,31350681,41733327,USD
100497,2022-03-12,$50.00,Bay Area Fencing Club - Los Gatos,31350932,41733808,USD
100498,2022-03-13,$395.00,Bay Area Fencing Club - Los Gatos,31358295,41745842,USD
100499,2022-03-14,$900.00,Bay Area Fencing Club - Los Gatos,31365246,41756437,USD
100500,2022-03-16,$900.00,Bay Area Fencing Club - Los Gatos,31387778,41788630,USD
100502,2022-03-16,$395.00,Bay Area Fencing Club - Los Gatos,31389919,41792615,USD
100504,2022-03-16,$50.00,Bay Area Fencing Club - Los Gatos,31390234,41793270,USD
100505,2022-03-16,$94.35,Bay Area Fencing Club - Los Gatos,31394301,41800326,USD
100511,2022-03-18,$103.00,Bay Area Fencing Club - Los Gatos,31411776,41828174,USD
100512,2022-03-18,$395.00,Bay Area Fencing Club - Los Gatos,31411882,41828323,USD
100513,2022-03-19,$217.50,Bay Area Fencing Club - Los Gatos,31420076,41841946,USD
100515,2022-03-19,$43.55,Bay Area Fencing Club - Los Gatos,31420228,41842232,USD
100522,2022-03-22,$494.91,Bay Area Fencing Club - Los Gatos,31443437,41879443,USD
100524,2022-03-22,$989.82,Bay Area Fencing Club - Los Gatos,31443470,41879492,USD
100525,2022-03-22,$301.83,Bay Area Fencing Club - Los Gatos,31443562,41879675,USD
100526,2022-03-22,$301.83,Bay Area Fencing Club - Los Gatos,31443575,41879716,USD
100527,2022-03-22,$703.66,Bay Area Fencing Club - Los Gatos,31443605,41879762,USD
100528,2022-03-22,$301.83,Bay Area Fencing Club - Los Gatos,31443614,41879812,USD
100529,2022-03-22,$301.83,Bay Area Fencing Club - Los Gatos,31443632,41879844,USD
100530,2022-03-22,$301.83,Bay Area Fencing Club - Los Gatos,31443653,41879903,USD
100531,2022-03-22,$301.83,Bay Area Fencing Club - Los Gatos,31443662,41879921,USD
100532,2022-03-22,$301.83,Bay Area Fencing Club - Los Gatos,31443674,41879956,USD
100533,2022-03-22,$201.83,Bay Area Fencing Club - Los Gatos,31443694,41879999,USD
100534,2022-03-24,$900.00,Bay Area Fencing Club - Los Gatos,31464013,41915202,USD
100535,2022-03-24,$900.00,Bay Area Fencing Club - Los Gatos,31465327,41917555,USD
100536,2022-03-24,$900.00,Bay Area Fencing Club - Los Gatos,31465600,41917941,USD
100539,2022-03-25,$395.00,Bay Area Fencing Club - Los Gatos,31476303,41933607,USD
100540,2022-03-28,$50.00,Bay Area Fencing Club - Los Gatos,31498242,41967990,USD
100544,2022-03-28,$131.10,Bay Area Fencing Club - Los Gatos,31500712,41973114,USD
100546,2022-03-29,$900.00,Bay Area Fencing Club - Los Gatos,31508954,41988521,USD
100548,2022-03-29,$311.37,Bay Area Fencing Club - Los Gatos,31510293,41990529,USD
100550,2022-03-30,$50.00,Bay Area Fencing Club - Los Gatos,31516516,42002371,USD
100551,2022-03-30,$57.00,Bay Area Fencing Club - Los Gatos,31516744,42002818,USD
100554,2022-03-30,$395.00,Bay Area Fencing Club - Los Gatos,31518556,42006391,USD
100555,2022-03-30,$900.00,Bay Area Fencing Club - Los Gatos,31518562,42006406,USD
100556,2022-03-31,$395.00,Bay Area Fencing Club - Los Gatos,31524785,42018125,USD
100557,2022-03-31,$900.00,Bay Area Fencing Club - Los Gatos,31527384,42022714,USD
100327,2022-04-01,$202.50,Bay Area Fencing Club - Los Gatos,31656102,41238948,USD
100369,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656106,41550505,USD
100380,2022-04-01,$550.00,Bay Area Fencing Club - Los Gatos,31656109,41550522,USD
100374,2022-04-01,$550.00,Bay Area Fencing Club - Los Gatos,31656110,41550515,USD
100371,2022-04-01,$550.00,Bay Area Fencing Club - Los Gatos,31656111,41550507,USD
100377,2022-04-01,$450.00,Bay Area Fencing Club - Los Gatos,31656112,41550516,USD
100382,2022-04-01,$550.00,Bay Area Fencing Club - Los Gatos,31656113,41550526,USD
100367,2022-04-01,$450.00,Bay Area Fencing Club - Los Gatos,31656104,41550496,USD
100373,2022-04-01,$450.00,Bay Area Fencing Club - Los Gatos,31656114,41550514,USD
100379,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656115,41550530,USD
100388,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656116,41550537,USD
100387,2022-04-01,$450.00,Bay Area Fencing Club - Los Gatos,31656120,41550539,USD
100389,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656121,41550544,USD
100325,2022-04-01,$202.50,Bay Area Fencing Club - Los Gatos,31656100,41230902,USD
100392,2022-04-01,$450.00,Bay Area Fencing Club - Los Gatos,31656123,41550553,USD
100336,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656101,41262497,USD
100393,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656128,41550552,USD
100399,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656130,41556643,USD
100326,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656103,41238799,USD
100398,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656134,41556069,USD
100404,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656135,41560846,USD
100402,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656136,41559036,USD
100372,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656105,41550508,USD
100368,2022-04-01,$350.00,Bay Area Fencing Club - Los Gatos,31656107,41550504,USD
100438,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656140,41642760,USD
100440,2022-04-01,$202.50,Bay Area Fencing Club - Los Gatos,31656142,41642769,USD
100370,2022-04-01,$450.00,Bay Area Fencing Club - Los Gatos,31656108,41550506,USD
100451,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656143,41647153,USD
100496,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656144,41733353,USD
100458,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656148,41653013,USD
100390,2022-04-01,$450.00,Bay Area Fencing Club - Los Gatos,31656124,41550549,USD
100394,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656125,41550554,USD
100391,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656126,41550548,USD
100506,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656147,41800339,USD
100376,2022-04-01,$450.00,Bay Area Fencing Club - Los Gatos,31656132,41550518,USD
100378,2022-04-01,$550.00,Bay Area Fencing Club - Los Gatos,31656117,41550524,USD
100384,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656118,41550534,USD
100375,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656119,41550517,USD
100415,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656138,41600534,USD
100386,2022-04-01,$550.00,Bay Area Fencing Club - Los Gatos,31656122,41550538,USD
100446,2022-04-01,$225.00,Bay Area Fencing Club - Los Gatos,31656141,41643184,USD
